data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,cpu_socket,cpu_tdp_w,cpu_com_cooler,cpu_marca,cpu_serie,cpu_ddr_suportado
2026-05-16,cpu,725933,Processador Intel Core I3-4160 3.6ghz LGA  1150 Oem,0.0,200.0,200.0,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/725933/processador-intel-core-i3-4160-3-6ghz-lga-1150-oem,LGA1150,,False,Intel,Core I3,
2026-05-16,cpu,881349,Processador Intel Core i5 8ª Geração De 6 Núcleos E 4ghz - Oem,0.0,684.4,643.34,6,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/881349/processador-intel-core-i5-8-geracao-de-6-nucleos-e-4ghz-oem,,,False,Intel,Core i5,
2026-05-16,cpu,881351,"Processador Intel Core i5 2ª Geração De 4 Núcleos E 3,4ghz - Oem",0.0,186.3,173.26,7,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/881351/processador-intel-core-i5-2-geracao-de-4-nucleos-e-3-4ghz-oem,,,False,Intel,Core i5,
2026-05-16,cpu,719963,Processador Intel Core 2 Duo E7500 2.93ghz,0.0,29.0,29.0,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/719963/processador-intel-core-2-duo-e7500-2-93ghz,,,False,Intel,,
2026-05-16,cpu,997522,"Processador Amd Am5 Ryzen 5 7400f 3,7ghz, 6/12, Oem, Sem Cooler",0.0,1319.9,1161.51,12,0,0,True,AMD,Hardware/Processadores/Processador AMD/Ryzen,Sem Garantia,False,https://www.kabum.com.br/produto/997522/processador-amd-am5-ryzen-5-7400f-3-7ghz-6-12-oem-sem-cooler,AM5,,True,AMD,Ryzen 5,DDR5
2026-05-16,cpu,949713,Processador Intel 1151p Core i5 7400 G7 3.0ghz 6mb Oem S/ Cooler,0.0,369.9,369.9,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/949713/processador-intel-1151p-core-i5-7400-g7-3-0ghz-6mb-oem-s-cooler,,,True,Intel,Core i5,
2026-05-16,cpu,952214,Processador Intel 1155p Core i5 G3 3470 3.2ghz 6mb Oem S/ Cooler,0.0,139.9,139.9,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,False,https://www.kabum.com.br/produto/952214/processador-intel-1155p-core-i5-g3-3470-3-2ghz-6mb-oem-s-cooler,,,True,Intel,Core i5,
2026-05-16,cpu,994588,Processador Intel 1151p Core i5 G9 9500 3.0ghz Oem S/ Cooler,0.0,749.9,749.9,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/994588/processador-intel-1151p-core-i5-g9-9500-3-0ghz-oem-s-cooler,,,True,Intel,Core i5,
2026-05-16,cpu,1031252,"Processador Intel 1200p Core i5 G10 10500 3,1ghz 12mb Oem",0.0,1124.9,1124.9,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/1031252/processador-intel-1200p-core-i5-g10-10500-3-1ghz-12mb-oem,,,False,Intel,Core i5,
2026-05-16,cpu,904848,Processador Intel Core - i7-2600k - 3.4ghz - 8mb LGA  1155 Oem,0.0,670.46,670.46,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/904848/processador-intel-core-i7-2600k-3-4ghz-8mb-lga-1155-oem,LGA1155,,False,Intel,,
2026-05-16,cpu,904844,Processador Intel Core - i7-9700 - 3.0ghz - 12mb LGA  1151 Oem,0.0,2429.73,2429.73,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/904844/processador-intel-core-i7-9700-3-0ghz-12mb-lga-1151-oem,LGA1151,,False,Intel,,DDR4
2026-05-16,cpu,655569,Processador Intel Core I3-330m 3m 2.13ghz Slbmd,0.0,59.9,59.9,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/655569/processador-intel-core-i3-330m-3m-2-13ghz-slbmd,,,False,Intel,Core I3,
2026-05-16,cpu,655570,Processador Intel Core I3-6100t Sr2he 3.20ghz LGA  1151,0.0,258.99,258.99,0,0,0,True,Outros,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/655570/processador-intel-core-i3-6100t-sr2he-3-20ghz-lga-1151,LGA1151,,False,Intel,Core I3,DDR4
2026-05-16,cpu,951730,Processador Intel Core i3-7100t 2 Núcleos  3.4ghz - Oem,0.0,280.0,280.0,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/951730/processador-intel-core-i3-7100t-2-nucleos-3-4ghz-oem,,,False,Intel,Core i3,
2026-05-16,cpu,739190,Processador Intel Sk1151 Core I3 7100 3.9ghz Oem Sem Cooler,0.0,106.8,106.8,0,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/739190/processador-intel-sk1151-core-i3-7100-3-9ghz-oem-sem-cooler,,,True,Intel,Core I3,
2026-05-16,cpu,1028317,Processador Intel Core i3-8100 3.6ghz 6mbcache 4nucleos 4threads LGA 1151 S/ Cooler,0.0,297.32,285.43,4,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,False,https://www.kabum.com.br/produto/1028317/processador-intel-core-i3-8100-3-6ghz-6mbcache-4nucleos-4threads-lga-1151-s-cooler,LGA1151,,True,Intel,Core i3,DDR4
2026-05-16,cpu,920521,Processador Intel Core i5-10400f 10° Geração LGA  1200 2.9ghz Cache 12 Mb Oem Tray,0.0,937.4,890.53,5,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/920521/processador-intel-core-i5-10400f-10-geracao-lga-1200-2-9ghz-cache-12-mb-oem-tray,LGA1200,,False,Intel,Core i5,DDR4
2026-05-16,cpu,995952,Processador Gamer Intel Core i9-10900f Bx8070110900f De 10 Núcleos E 5.2ghz De Frequência,0.0,4599.0,4599.0,0,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i9,Sem Garantia,False,https://www.kabum.com.br/produto/995952/processador-gamer-intel-core-i9-10900f-bx8070110900f-de-10-nucleos-e-5-2ghz-de-frequencia,,,False,Intel,Core i9,
2026-05-16,cpu,995240,Processador Intel i5-10400 / 2.9ghz / 12mb Cache / FcLGA 1200 Box,0.0,1137.9,1069.63,6,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/995240/processador-intel-i5-10400-2-9ghz-12mb-cache-fclga-1200-box,LGA1200,,True,Intel,,DDR4
2026-05-16,cpu,1022098,Processador Intel Core i5-9600 3.1ghz Turbo 3.7ghz 9mbcache 6nucleos 6threads LGA 1151 S/ Cooler  Cm8068403358610,0.0,1224.82,1004.35,18,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/1022098/processador-intel-core-i5-9600-3-1ghz-turbo-3-7ghz-9mbcache-6nucleos-6threads-lga-1151-s-cooler-cm8068403358610,LGA1151,,True,Intel,Core i5,DDR4
2026-05-16,cpu,1022110,Processador Intel Core i3-9100t 3.1ghz Turbo 3.7ghz 6mbcache 4nucleos 4threads LGA 1151 S/ Cooler   Cm8068403377425,0.0,437.32,358.6,18,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,False,https://www.kabum.com.br/produto/1022110/processador-intel-core-i3-9100t-3-1ghz-turbo-3-7ghz-6mbcache-4nucleos-4threads-lga-1151-s-cooler-cm8068403377425,LGA1151,,True,Intel,Core i3,DDR4
2026-05-16,cpu,1022111,Processador Intel Core i3-9100 3.6ghz Turbo 4.2ghz 6mbcache 4nucleos 4threads LGA 1151 S/ Cooler  Cm8068403377319,0.0,454.82,372.95,18,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,False,https://www.kabum.com.br/produto/1022111/processador-intel-core-i3-9100-3-6ghz-turbo-4-2ghz-6mbcache-4nucleos-4threads-lga-1151-s-cooler-cm8068403377319,LGA1151,,True,Intel,Core i3,DDR4
2026-05-16,cpu,1012499,Processador Intel Core i5-4590 3.3ghz 6mb Cache LGA  1150  (s/ Cooler)  Cm8064601560615,0.0,262.32,215.1,18,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/1012499/processador-intel-core-i5-4590-3-3ghz-6mb-cache-lga-1150-s-cooler-cm8064601560615,LGA1150,,True,Intel,Core i5,
2026-05-16,cpu,1020594,Kit Com 5 Processadores Intel i5-3470 3.20ghz 6mb Cache FcLGA 1155,0.0,590.79,555.34,6,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,False,https://www.kabum.com.br/produto/1020594/kit-com-5-processadores-intel-i5-3470-3-20ghz-6mb-cache-fclga-1155,LGA1155,,False,Intel,,
2026-05-16,cpu,1032065,Processador Intel Core i5-4590s 3.0ghz 6mb Oem LGA  1150,0.0,210.0,172.2,18,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i5,Sem Garantia,True,https://www.kabum.com.br/produto/1032065/processador-intel-core-i5-4590s-3-0ghz-6mb-oem-lga-1150,LGA1150,,False,Intel,Core i5,
2026-05-16,cpu,1000739,Processador Amd Ryzen 5 8500g (am5/6 Cores/12 Threads/5.0ghz/22mb Cache/wraith Stealth/amd Radeon 740m),0.0,1597.02,1597.02,0,0,0,True,AMD,Hardware/Processadores/Processador AMD/Ryzen,Sem Garantia,False,https://www.kabum.com.br/produto/1000739/processador-amd-ryzen-5-8500g-am5-6-cores-12-threads-5-0ghz-22mb-cache-wraith-stealth-amd-radeon-740m-,AM5,,True,AMD,Ryzen 5,DDR5
2026-05-16,cpu,1036611,"Processador, Cpu, Intel Core i3-9100, 3.6ghz (4.2ghz Turbo), Quad Core LGA 1151, 6mb Cache - Sem Box E Sem Cooler",0.0,473.75,402.69,15,0,0,True,Intel,Hardware/Processadores/Processador Intel/Core i3,Sem Garantia,False,https://www.kabum.com.br/produto/1036611/processador-cpu-intel-core-i3-9100-3-6ghz-4-2ghz-turbo-quad-core-lga-1151-6mb-cache-sem-box-e-sem-cooler,LGA1151,,True,Intel,Core i3,DDR4
2026-05-16,cpu,1021040,"Processador 1151 Intel 7ª Geração Core i3-7100, 3.9ghz, 3mb, Oem, Sem Cooler",0.0,133.32,119.99,10,0,0,True,Intel,Hardware/Processadores/Processador Intel,Sem Garantia,False,https://www.kabum.com.br/produto/1021040/processador-1151-intel-7-geracao-core-i3-7100-3-9ghz-3mb-oem-sem-cooler-gar-t9m,1151,,True,Intel,Core i3,DDR4
