data_coleta,categoria_key,id,nome,preco_original,preco_atual,preco_pix,desconto_pct,avaliacao,num_avaliacoes,disponivel,fabricante,categoria,garantia,frete_gratis,url,ssd_interface,ssd_geracao_pcie,ssd_capacidade_gb,ssd_notebook
2026-05-16,ssd,909279,SSD Nvme 2TB Gen 4 6000mbs/5000mbs Adata Legend Sleg-860-2000gcs,0.0,3666.9,3300.21,10,0,0,True,Adata,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/909279/ssd-nvme-2tb-gen-4-6000mbs-5000mbs-adata-legend-sleg-860-2000gcs,NVMe,None,2048.0,False
2026-05-16,ssd,1003819,Case Orico Para SSD M.2 Nvme PCie 10gbps Usb 3.2 Tipo-c - Alta Velocidade,0.0,149.98,149.98,0,0,0,True,Orico,Hardware/SSD/Acessórios,Sem Garantia,False,https://www.kabum.com.br/produto/1003819/case-orico-para-ssd-m-2-nvme-pcie-10gbps-usb-3-2-tipo-c-alta-velocidade,NVMe,,10.0,False
2026-05-16,ssd,905146,"SSD Externo Hiksemi, Edição Especial, Memória De Elefante, Redragon, 1TB, Gd803",0.0,926.9,787.87,15,0,0,True,Hiksemi,Hardware/SSD/SSD Externo / Portátil,Sem Garantia,False,https://www.kabum.com.br/produto/905146/ssd-externo-hiksemi-edicao-especial-memoria-de-elefante-redragon-1tb-gd803,,,1024.0,False
2026-05-16,ssd,993083,SSD Kootion X15 Lite 512GB Compatível Com Notbook e PCs  Gamer - Alta Performance e Durabilidade Extremas,0.0,629.99,629.99,0,0,0,True,Outros,Hardware/SSD/SSD PCIe NVMe,Sem Garantia,False,https://www.kabum.com.br/produto/993083/disco-ssd-nvme-m2-netac-250gb-3100mb-s-pci-e-3-0-x4-pc-note,,,512.0,False
2026-05-16,ssd,712869,"SSD Sata Crucial Bx500, 1TB, 2.5”, Leitura: 540mb/s E Gravação: 500mb/s, Preto - Ct1000bx500ssd1",0.0,1006.8,1006.8,0,0,0,True,Crucial,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/712869/ssd-sata-crucial-bx500-1tb-2-5-leitura-540mb-s-e-gravacao-500mb-s-preto-ct1000bx500ssd1,SATA,,1024.0,False
2026-05-16,ssd,366190,"Case Para SSD Dex SATA M2, NGFF, USB-C 3.1, Preto - DX-M231",0.0,102.18,97.07,5,0,0,True,DEX,Hardware/SSD/Acessórios,Sem Garantia,False,https://www.kabum.com.br/produto/366190/case-para-ssd-dex-sata-m2-ngff-usb-c-3-1-preto-dx-m231,SATA,,,False
2026-05-16,ssd,955137,Case Externa Ugreen Para SSDs M.2 Nvme PCie Usb-c 3.2 Gen 2 10 Gbps (cor - Cinza) Capacidades 8 Tb Cabos Incluídos,0.0,319.0,319.0,0,0,0,True,Ugreen,Hardware/SSD/Acessórios,Sem Garantia,False,https://www.kabum.com.br/produto/955137/case-externa-ugreen-para-ssds-m-2-nvme-pcie-usb-c-3-2-gen-2-10-gbps-cor-cinza-capacidades-8-tb-cabos-incluidos,NVMe,None,8192.0,False
2026-05-16,ssd,667333,SSD 1TB 2.5 Sata 3 560mbs Leit 520mbs Grav Gmog1ts3 Golden Memory,0.0,943.65,830.41,12,0,0,True,GOLDEN MEMORY,Hardware/SSD/SSD SATA,Sem Garantia,False,https://www.kabum.com.br/produto/667333/hd-ssd-1tb-sata-iii-goldenfir-desktop-notebook,SATA,,1024.0,False
2026-05-16,ssd,954168,SSD  480GB 2.5 Sata 3 500mb/s Leit - 450mb/s Grav Gl480ssd Goline,0.0,450.0,396.0,12,0,0,True,GOLINE,Hardware/SSD/SSD M.2 SATA,Sem Garantia,False,https://www.kabum.com.br/produto/954168/ssd-480gb-2-5-sata-3-500mb-s-leit-450mb-s-grav-gl480ssd-goline,SATA,,480.0,False
2026-05-16,ssd,509688,"SSD Sandisk Portátil Extreme Pro 1TB, USB-C -SDSSDE81-1T00-G25",0.0,1759.0,1759.0,0,0,0,True,SanDisk,Hardware/SSD/SSD Externo / Portátil,Sem Garantia,False,https://www.kabum.com.br/produto/509688/ssd-sandisk-portatil-extreme-pro-1tb-usb-c-sdssde81-1t00-g25,,,1024.0,False
